sectperf	unit	geo	time	values
HES	MIO_EUR	DE	2015-01-01	15130
HES	MIO_EUR	DK	2015-01-01	2864.94
HES	MIO_EUR	EA19	2015-01-01	48845.733
HES	MIO_EUR	EE	2015-01-01	125.217
HES	MIO_EUR	EL	2015-01-01	643.77
HES	MIO_EUR	ES	2015-01-01	3703.884
HES	MIO_EUR	EU28	2015-01-01	69360.224
HES	MIO_EUR	FI	2015-01-01	1480.5
HES	MIO_EUR	FR	2015-01-01	9864.327
HES	MIO_EUR	HR	2015-01-01	90.859
HES	MIO_EUR	HU	2015-01-01	183.039
HES	MIO_EUR	IE	2015-01-01	707.4
HES	MIO_EUR	IS	2015-01-01	101.148
HES	MIO_EUR	IT	2015-01-01	6254.4
HES	MIO_EUR	LT	2015-01-01	216.394
HES	MIO_EUR	LU	2015-01-01	119.7
HES	MIO_EUR	LV	2015-01-01	75.6
HES	MIO_EUR	MT	2015-01-01	22.96
HES	MIO_EUR	NL	2015-01-01	4375
HES	MIO_EUR	NO	2015-01-01	2067.132
HES	MIO_EUR	PL	2015-01-01	1246.433
HES	MIO_EUR	PT	2015-01-01	1041.661
HES	MIO_EUR	RO	2015-01-01	136.435
HES	MIO_EUR	RU	2015-01-01	1288.794
HES	MIO_EUR	SE	2015-01-01	3916.181
HES	MIO_EUR	SI	2015-01-01	86.934
HES	MIO_EUR	SK	2015-01-01	406.069
